Type;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;
country;continent;region;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l
Estonia;Europe;Northern Europe;1.201;4.884;4,07;2.761;11.953;4,33;4.458;21.072;4,73;---;---;---;838;21.231;25,34;2.257;16.880;7,48;534;38.853;72,76;2.216;43.809;19,77;126;1.207;9,58;491;3.805;7,76;---;---;---;1.688;6.479;3,84;2.813;12.216;4,34;4.842;23.068;4,76;---;---;---;82;3.159;38,64;1.280;10.411;8,14;59;1.471;25,15;1.304;21.306;16,35;891;5.150;5,78;225;1.770;7,87;---;---;---;79;374;4,76;2.225;10.371;4,66;4.011;20.760;5,18;---;---;---;113;3.970;35,29;2.018;16.147;8;113;2.274;20,21;941;14.372;15,28;315;1.866;5,93;207;1.628;7,87;---;---;---;1.089;4.476;4,11;2.384;10.570;4,43;7.937;40.510;5,1;135;549;4,07;108;4.074;37,73;1.635;12.242;7,49;372;7.206;19,37;1.181;19.875;16,84;756;5.122;6,78;306;2.407;7,87;---;---;---;280;1.617;5,78;5.941;25.537;4,3;11.302;58.609;5,19;1.190;5.816;4,89;161;6.254;38,97;2.385;17.078;7,16;92;3.121;33,83;2.471;42.326;17,13;656;4.402;6,72;270;2.124;7,87;---;---;---
USA;North America;Northern America;85.554;378.897;4,43;668.516;2.633.754;3,94;761.198;3.013.371;3,96;---;---;---;92.479;1.663.275;17,99;305.644;2.116.820;6,93;32.899;802.746;24,4;781.029;11.036.340;14,13;1.227.400;7.537.327;6,14;30.894;222.389;7,2;4.203;32.302;7,69;85.618;342.764;4;725.983;2.763.670;3,81;747.817;2.794.776;3,74;3.600;18.819;5,23;48.913;776.680;15,88;281.794;1.835.349;6,51;19.690;488.273;24,8;719.551;9.547.433;13,27;1.018.911;5.783.762;5,68;57.576;321.701;5,59;1.449;9.967;6,88;73.535;317.764;4,32;572.966;2.301.093;4,02;674.929;2.722.162;4,03;39.355;248.991;6,33;108.904;2.252.431;20,68;213.944;1.415.916;6,62;12.419;222.701;17,93;520.993;6.729.389;12,92;914.489;5.500.733;6,02;16.742;102.596;6,13;1.377;9.312;6,76;68.570;300.881;4,39;631.896;2.598.529;4,11;694.558;2.917.305;4,2;11.205;81.004;7,23;49.785;894.779;17,97;263.263;1.755.885;6,67;17.604;410.433;23,32;632.387;8.653.047;13,68;963.944;6.128.384;6,36;29.053;171.563;5,91;2.889;22.175;7,68;79.662;352.730;4,43;702.182;2.888.894;4,11;753.521;3.089.976;4,1;5.288;29.641;5,61;70.267;1.360.460;19,36;248.279;1.695.018;6,83;16.821;436.704;25,96;747.401;10.430.630;13,96;977.699;6.070.374;6,21;33.647;207.964;6,18;1.877;14.662;7,81
Fiji;Oceania;Melanesia;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;630;3.697;5,87;---;---;---;126;616;4,89;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;126;800;6,35;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Philippines;Asia;South-Eastern Asia;23;83;3,67;270;990;3,67;---;---;---;---;---;---;27;707;26,17;---;---;---;---;---;---;23;225;10;---;---;---;---;---;---;---;---;---;158;616;3,91;752;2.883;3,84;540;2.024;3,75;---;---;---;441;6.884;15,61;---;---;---;---;---;---;338;6.921;20,51;126;1.361;10,8;261;2.674;10,25;---;---;---;118;485;4,12;1.616;6.027;3,73;900;3.084;3,43;---;---;---;16;324;20,57;2;0;---;---;---;---;216;2.378;11,01;135;817;6,06;135;853;6,32;---;---;---;149;603;4,06;1.328;5.606;4,22;378;1.589;4,2;---;---;---;369;3.174;8,6;171;1.660;9,71;---;---;---;236;3.343;14,19;---;---;---;90;418;4,64;---;---;---;203;846;4,18;2.925;11.477;3,92;720;3.034;4,21;---;---;---;141;2.844;20,17;---;---;---;---;---;---;239;2.458;10,31;90;562;6,24;540;3.413;6,32;---;---;---
Finland;Europe;Northern Europe;7.185;34.105;4,75;15.180;68.808;4,53;53.573;274.145;5,12;---;---;---;6.884;165.885;24,1;25.850;168.007;6,5;1.198;37.042;30,93;10.134;198.771;19,61;7.650;42.969;5,62;545;3.408;6,26;---;---;---;8.119;40.572;5;22.350;96.624;4,32;44.871;236.569;5,27;---;---;---;3.300;51.459;15,59;29.720;187.274;6,3;318;13.700;43,08;17.264;271.804;15,74;8.989;55.964;6,23;578;6.330;10,96;3.813;27.286;7,16;10.188;50.102;4,92;31.209;129.870;4,16;50.657;257.803;5,09;3.960;23.760;6;3.142;47.575;15,14;28.649;189.898;6,63;1.242;29.228;23,53;9.401;138.330;14,72;10.955;67.716;6,18;288;2.811;9,76;594;4.446;7,49;6.967;36.519;5,24;31.728;137.221;4,32;39.855;210.832;5,29;---;---;---;1.944;30.678;15,78;31.482;234.501;7,45;4.056;66.116;16,3;7.866;108.681;13,82;14.967;92.901;6,21;216;2.064;9,56;50;465;9,4;10.864;55.151;5,08;23.513;99.584;4,24;47.152;238.625;5,06;522;4.149;7,95;1.616;27.674;17,13;30.404;210.649;6,93;5.107;103.595;20,29;10.930;164.070;15,01;17.881;108.553;6,07;375;3.317;8,85;1.980;19.800;10
France;Europe;Western Europe;3.167.432;10.436.987;3,3;17.117.859;52.381.124;3,06;2.232.756;8.571.208;3,84;---;---;---;87.267;971.463;11,13;70.146;533.770;7,61;29.929;390.920;13,06;1.148.935;8.704.677;7,58;856.474;4.757.874;5,56;177.475;939.615;5,29;2;3;2;3.359.798;11.082.405;3,3;16.577.886;52.113.439;3,14;1.965.936;7.519.478;3,82;4.856;27.385;5,64;54.347;665.952;12,25;61.138;479.673;7,85;30.608;293.345;9,58;1.152.767;8.628.908;7,49;454.541;2.419.762;5,32;569.756;3.241.789;5,69;---;---;---;3.511.530;11.458.072;3,26;16.179.230;51.352.622;3,17;1.938.093;7.397.367;3,82;305.245;1.104.805;3,62;51.553;664.029;12,88;53.660;377.115;7,03;13.315;203.140;15,26;1.115.502;8.531.956;7,65;308.954;1.578.088;5,11;460.750;2.597.217;5,64;900;10.740;11,93;3.378.886;11.183.815;3,31;16.057.670;50.774.378;3,16;1.753.851;6.605.200;3,77;499.951;1.731.048;3,46;41.973;536.074;12,77;53.927;472.967;8,77;21.252;224.137;10,55;1.154.584;8.326.365;7,21;342.435;1.884.921;5,5;466.697;2.655.108;5,69;---;---;---;3.325.557;10.933.665;3,29;15.546.873;48.590.439;3,13;1.623.983;6.090.654;3,75;398.861;1.393.707;3,49;39.133;622.713;15,91;71.328;501.685;7,03;9.990;117.305;11,74;1.087.750;7.959.247;7,32;311.612;1.696.796;5,45;362.834;2.079.646;5,73;36;312;8,67
Ghana;Africa;Western Africa;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;180;948;5,27;180;948;5,27;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;90;834;9,26;---;---;---;---;---;---;135;683;5,06;135;683;5,06;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;68;505;7,48;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;113;3.228;28,69;---;---;---;---;---;---;113;1.728;15,36;113;834;7,41;1.368;9.941;7,27;---;---;---;54;276;5,11;68;349;5,18;45;227;5,05;---;---;---;23;327;14,53;---;---;---;---;---;---;---;---;---;23;181;8,03;---;---;---;---;---;---
Gibraltar;Europe;Southern Europe;153;985;6,44;1.055;5.183;4,92;1.424;5.983;4,2;---;---;---;144;2.340;16,25;1.175;9.796;8,34;---;---;---;559;8.057;14,42;518;3.537;6,83;90;770;8,56;---;---;---;279;1.273;4,56;1.391;6.051;4,35;1.665;6.223;3,74;---;---;---;23;538;23,89;981;7.288;7,43;---;---;---;498;6.441;12,93;405;2.693;6,65;23;224;9,96;---;---;---;95;541;5,73;707;2.782;3,94;1.436;5.310;3,7;---;---;---;18;535;29,73;1.292;10.015;7,75;---;---;---;455;5.291;11,64;522;2.897;5,55;72;717;9,96;---;---;---;99;443;4,48;1.125;5.367;4,77;1.386;6.153;4,44;---;---;---;---;---;---;693;5.750;8,3;---;---;---;293;4.053;13,82;261;1.874;7,18;23;224;9,96;---;---;---;68;403;5,98;743;3.878;5,22;585;2.685;4,59;---;---;---;---;---;---;495;3.611;7,3;---;---;---;90;1.123;12,47;252;1.734;6,88;23;224;9,96;---;---;---
Greece;Europe;Southern Europe;3.223;14.387;4,46;10.255;40.166;3,92;73.696;458.747;6,22;---;---;---;623;14.395;23,1;446;3.773;8,47;569;12.746;22,42;2.564;66.951;26,11;2.366;16.389;6,93;185;1.439;7,8;---;---;---;3.154;15.173;4,81;6.949;29.508;4,25;59.572;371.338;6,23;378;2.184;5,78;239;5.798;24,31;437;3.620;8,29;164;3.655;22,26;2.549;55.560;21,8;659;6.246;9,49;---;---;---;---;---;---;608;3.126;5,15;4.064;17.135;4,22;44.235;278.289;6,29;---;---;---;239;7.123;29,86;126;1.075;8,53;45;550;12,22;1.391;24.658;17,73;369;2.763;7,49;---;---;---;---;---;---;465;2.294;4,93;4.529;18.581;4,1;32.033;196.961;6,15;---;---;---;11;192;17,07;454;3.956;8,72;---;---;---;709;14.901;21,02;324;2.504;7,73;---;---;---;---;---;---;405;1.989;4,91;5.207;19.775;3,8;31.865;191.854;6,02;2.835;9.076;3,2;47;2.562;54,22;135;1.264;9,37;14;315;23,33;383;6.414;16,77;711;3.955;5,56;---;---;---;---;---;---
Greenland;North America;Northern America;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;172;5.761;33,54;9;98;10,89;---;---;---;5;74;16,33;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Guadeloupe;North America;Caribbean;171;1.246;7,28;45;228;5,07;126;1.008;8;---;---;---;36;940;26,11;18;160;8,88;---;---;---;171;5.123;29,96;288;3.031;10,53;---;---;---;---;---;---;---;---;---;---;---;---;252;2.016;8;---;---;---;27;373;13,81;---;---;---;---;---;---;111;3.140;28,28;126;1.386;11;---;---;---;---;---;---;---;---;---;---;---;---;126;1.036;8,22;---;---;---;---;---;---;---;---;---;---;---;---;111;2.590;23,33;126;1.428;11,33;---;---;---;---;---;---;378;3.164;8,37;---;---;---;378;3.164;8,37;---;---;---;---;---;---;297;2.655;8,94;---;---;---;141;3.960;28,09;252;2.898;11,5;---;---;---;---;---;---;---;---;---;---;---;---;126;1.064;8,44;---;---;---;9;216;24;---;---;---;---;---;---;60;1.454;24,23;126;1.470;11,67;---;---;---;---;---;---
Guatemala;North America;Central America;225;869;3,86;180;695;3,86;540;2.086;3,86;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;50;170;3,44;90;316;3,51;135;473;3,51;---;---;---;---;---;---;27;133;4,94;1;125;166,93;---;---;---;---;---;---;99;519;5,24;---;---;---;---;---;---;---;---;---;450;2.491;5,54;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;113;423;3,76;833;3.451;4,15;428;2.106;4,93;---;---;---;---;---;---;45;258;5,73;---;---;---;113;1.302;11,57;---;---;---;270;1.894;7,01;---;---;---;90;335;3,72;923;3.892;4,22;383;1.661;4,34;---;---;---;---;---;---;---;---;---;---;---;---;45;461;10,25;---;---;---;---;---;---;---;---;---
Equatorial Guinea;Africa;Middle Africa;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;41;195;4,81;41;193;4,77;36;171;4,75;---;---;---;---;---;---;---;---;---;---;---;---;9;272;30,2;---;---;---;9;76;8,4;---;---;---
Haiti;North America;Caribbean;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;270;1.305;4,83;270;1.305;4,83;---;---;---;---;---;---;45;360;8;---;---;---;45;1.350;30;225;1.895;8,42;45;270;6;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;90;2.700;30;486;4.093;8,42;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Netherlands;Europe;Western Europe;1.609.462;4.864.429;3,02;1.969.804;6.862.166;3,48;9.849.158;29.002.144;2,94;---;---;---;37.445;614.798;16,42;294.729;1.924.903;6,53;96.338;1.401.879;14,55;415.561;3.681.574;8,86;407.850;2.059.973;5,05;45.446;328.367;7,23;1.836;16.365;8,91;1.535.132;4.807.531;3,13;1.783.546;6.232.258;3,49;8.897.828;26.222.985;2,95;78.840;425.373;5,4;54.260;875.346;16,13;265.544;1.829.590;6,89;112.870;1.519.765;13,46;397.177;3.617.522;9,11;416.569;2.179.870;5,23;47.390;327.332;6,91;1.472;12.077;8,21;1.267.887;4.245.112;3,35;1.497.376;5.309.621;3,55;7.504.636;22.547.881;3;148.145;833.920;5,63;37.386;744.859;19,92;192.602;1.276.787;6,63;37.981;546.421;14,39;207.309;2.258.620;10,89;330.585;1.671.816;5,06;24.607;200.793;8,16;1.143;10.072;8,81;1.387.086;4.230.259;3,05;1.836.319;6.409.376;3,49;7.699.798;22.798.293;2,96;201.249;1.044.057;5,19;53.619;694.084;12,94;195.000;1.362.932;6,99;61.003;882.187;14,46;349.460;3.392.365;9,71;434.293;2.354.940;5,42;43.996;327.359;7,44;1.206;11.295;9,37;1.380.966;4.224.498;3,06;1.932.869;6.753.975;3,49;7.497.320;22.206.355;2,96;185.228;818.861;4,42;32.893;487.502;14,82;192.159;1.391.100;7,24;77.454;1.136.864;14,68;389.993;3.815.616;9,78;326.623;1.794.976;5,5;49.206;381.017;7,74;3.551;30.190;8,5
Honduras;North America;Central America;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;90;444;4,93;---;---;---;450;2.220;4,93;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;90;352;3,91;---;---;---;450;1.753;3,9;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Hong Kong;Asia;Eastern Asia;452;4.030;8,92;4.244;22.158;5,22;12.173;52.683;4,33;---;---;---;1.400;32.889;23,5;12.651;84.976;6,72;14;1.356;100,44;5.225;153.385;29,36;6.385;31.375;4,91;707;5.212;7,38;---;---;---;664;4.037;6,08;5.219;27.472;5,26;16.605;74.068;4,46;414;2.145;5,18;1.648;58.456;35,47;13.347;86.280;6,46;269;10.043;37,41;5.394;166.632;30,89;6.637;32.179;4,85;182;1.308;7,21;---;---;---;1.805;8.459;4,69;4.964;25.004;5,04;14.801;68.189;4,61;180;1.200;6,67;1.656;58.349;35,23;7.416;49.997;6,74;2;140;93,33;5.447;177.405;32,57;5.042;26.846;5,32;581;3.304;5,69;---;---;---;3.134;14.671;4,68;6.768;31.954;4,72;19.313;92.263;4,78;136;900;6,62;2.589;64.154;24,78;10.791;73.488;6,81;888;38.856;43,76;7.628;359.197;47,09;8.776;49.116;5,6;68;523;7,67;---;---;---;1.455;8.729;6;6.431;34.709;5,4;15.181;76.016;5,01;1.161;7.530;6,49;1.841;86.603;47,04;14.270;93.092;6,52;632;81.708;129,23;7.334;358.807;48,93;8.683;50.672;5,84;90;838;9,31;---;---;---
Hungary;Europe;Eastern Europe;1.960;8.364;4,27;14.261;56.205;3,94;19.202;82.441;4,29;---;---;---;59;1.288;22,02;257;2.118;8,23;99;3.025;30,56;1.580;19.819;12,55;97;822;8,5;221;2.281;10,35;---;---;---;1.224;4.991;4,08;9.585;36.479;3,81;12.654;51.554;4,07;---;---;---;32;586;18,59;450;3.756;8,35;18;353;19,61;1.809;29.259;16,17;513;4.661;9,09;338;3.877;11,49;---;---;---;1.251;5.339;4,27;6.777;28.684;4,23;7.313;31.386;4,29;---;---;---;59;1.899;32,45;207;1.829;8,84;---;---;---;1.008;23.588;23,4;---;---;---;41;195;4,82;---;---;---;657;2.540;3,87;2.840;11.478;4,04;7.452;34.133;4,58;---;---;---;---;---;---;419;3.673;8,78;104;2.215;21,4;288;9.941;34,52;405;3.761;9,29;212;2.467;11,66;---;---;---;1.167;4.674;4;8.651;34.055;3,94;12.134;48.890;4,03;3.258;14.277;4,38;99;2.434;24,59;572;3.862;6,76;68;1.020;14,95;1.563;28.321;18,12;302;2.696;8,94;351;3.385;9,64;---;---;---
Reunion Island;Africa;Eastern Africa;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;126;840;6,67;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;96;1.421;14,8;126;938;7,44;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Maldives Islands;Asia;Southern Asia;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;240;833;3,47;240;833;3,47;---;---;---;---;---;---;---;---;---;---;---;---;90;801;8,9;90;481;5,34;---;---;---;---;---;---;---;---;---;630;2.046;3,25;630;2.046;3,25;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Mauritius Islands;Africa;Eastern Africa;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;189;1.302;6,89;95;651;6,89;95;651;6,89;---;---;---;---;---;---;---;---;---;---;---;---;90;1.335;14,83;50;534;10,78;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;126;889;7,06;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;126;1.393;11,06;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Virgin Islands (US);North America;Caribbean;---;---;---;---;---;---;---;---;---;---;---;---;203;4.036;19,93;113;812;7,22;---;---;---;---;---;---;600;3.145;5,24;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
India;Asia;Southern Asia;---;---;---;---;---;---;414;1.913;4,62;---;---;---;27;558;20,66;---;---;---;---;---;---;387;6.718;17,36;180;1.325;7,36;---;---;---;---;---;---;---;---;---;---;---;---;432;1.968;4,56;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;23;2;0,09;3;2;0,67;2;1;0,44;---;---;---;25;284;11,47;2;1;0,67;2;1;0,67;68;879;12,88;2;1;0,67;2;1;0,67;---;---;---;---;---;---;135;504;3,73;1.359;7.337;5,4;---;---;---;---;---;---;189;1.366;7,23;---;---;---;180;2.157;11,98;---;---;---;---;---;---;---;---;---;---;---;---;2.205;7.470;3,39;720;3.708;5,15;225;1.455;6,47;45;3.638;80,83;45;383;8,51;---;---;---;95;7.692;81,4;---;---;---;---;---;---;---;---;---
Indonesia;Asia;South-Eastern Asia;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;576;3.377;5,86;---;---;---;288;5.658;19,65;189;1.151;6,09;---;---;---;252;4.522;17,94;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;90;324;3,6;90;324;3,6;---;---;---;18;376;20,91;45;409;9,08;---;---;---;36;627;17,41;---;---;---;---;---;---;---;---;---;---;---;---;567;2.041;3,6;567;2.041;3,6;---;---;---;---;---;---;23;204;9,08;---;---;---;261;4.195;16,07;---;---;---;---;---;---;---;---;---
Ireland;Europe;Northern Europe;1.418;7.710;5,44;7.376;24.036;3,26;200.570;1.238.263;6,17;---;---;---;3.528;73.280;20,77;22.311;158.841;7,12;315;6.264;19,89;4.977;68.822;13,83;5.922;38.471;6,5;75.866;549.836;7,25;---;---;---;2.148;18.870;8,78;4.469;17.561;3,93;191.594;1.171.623;6,12;---;---;---;3.521;67.546;19,19;27.363;204.505;7,47;180;3.420;19;8.115;124.109;15,29;13.280;90.253;6,8;74.115;547.617;7,39;---;---;---;980;4.501;4,59;7.746;26.643;3,44;183.083;1.101.217;6,01;---;---;---;1.904;42.093;22,11;10.234;79.189;7,74;104;1.615;15,49;4.058;46.937;11,57;18.860;93.530;4,96;65.250;474.413;7,27;---;---;---;608;2.939;4,84;7.505;57.580;7,67;190.948;1.120.722;5,87;---;---;---;1.747;35.423;20,28;13.261;104.700;7,9;171;3.355;19,62;5.823;119.855;20,58;20.985;107.718;5,13;70.772;512.362;7,24;---;---;---;634;3.220;5,08;770;4.147;5,38;200.837;1.215.579;6,05;---;---;---;1.168;28.758;24,63;13.244;102.693;7,75;267;4.746;17,78;1.691;34.791;20,57;25.457;157.684;6,19;76.820;560.745;7,3;---;---;---
Iceland;Europe;Northern Europe;2.858;12.811;4,48;1.757;9.625;5,48;4.568;17.490;3,83;---;---;---;374;9.340;25,01;6.101;50.527;8,28;---;---;---;3.205;46.387;14,47;1.364;11.155;8,18;36;211;5,85;5;35;7,88;2.218;8.659;3,9;2.076;10.104;4,87;2.452;8.908;3,63;---;---;---;54;1.189;22,02;3.097;26.666;8,61;---;---;---;3.422;46.778;13,67;2.045;11.024;5,39;---;---;---;---;---;---;2.646;10.236;3,87;1.893;9.325;4,93;4.950;18.272;3,69;---;---;---;36;2.948;81,89;1.443;11.758;8,15;---;---;---;1.209;17.190;14,22;1.782;10.998;6,17;---;---;---;---;---;---;2.328;9.686;4,16;1.830;8.706;4,76;3.888;14.694;3,78;---;---;---;3;0;---;627;4.497;7,17;---;---;---;1.574;19.925;12,66;482;2.793;5,8;---;---;---;---;---;---;2.255;8.968;3,98;3.507;14.566;4,15;4.950;19.917;4,02;32;164;5,2;140;7.526;53,95;3.837;28.698;7,48;---;---;---;3.323;46.670;14,05;5.870;29.344;5;32;291;9,24;---;---;---
