21 - Wine sales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Period;;;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wine;;;Porto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;
country;continent;region;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l
Hungary;Europe;Eastern Europe;2.252;8.398;3,73;153;488;3,19;1.674;8.431;5,04;---;---;---;11;302;26,8;374;3.158;8,46;---;---;---;512;14.948;29,19;1.008;8.652;8,58;542;6.138;11,32;---;---;---
Maldives Islands;Asia;Southern Asia;---;---;---;320;1.762;5,51;657;3.607;5,49;---;---;---;---;---;---;18;144;8;---;---;---;---;---;---;9;62;6,93;---;---;---;---;---;---
Mauritius Islands;Africa;Eastern Africa;---;---;---;126;901;7,15;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;45;712;15,82;63;702;11,15;---;---;---;---;---;---
India;Asia;Southern Asia;---;---;---;608;2.361;3,89;47;102;2,15;---;---;---;---;---;---;---;---;---;263;3.920;14,93;23;132;5,87;563;3.615;6,43;113;348;3,09;---;---;---
Indonesia;Asia;South-Eastern Asia;---;---;---;4.005;22.866;5,71;135;714;5,29;---;---;---;54;1.395;25,84;855;7.597;8,89;---;---;---;630;11.242;17,84;45;343;7,62;---;---;---;---;---;---
Ireland;Europe;Northern Europe;1.542;8.819;5,72;974;6.240;6,41;132.698;781.885;5,89;2;3;2;1.392;35.448;25,47;11.913;101.859;8,55;290;7.783;26,88;11.909;138.428;11,62;9.183;65.382;7,12;39.528;289.140;7,31;252;2.743;10,88
Iceland;Europe;Northern Europe;3.636;16.174;4,45;4.190;22.378;5,34;7.343;35.463;4,83;---;---;---;158;4.042;25,66;2.772;25.696;9,27;90;1.368;15,2;5.045;83.526;16,56;6.534;40.955;6,27;---;---;---;---;---;---
Israel;Asia;Western Asia;1.341;8.036;5,99;7.025;32.939;4,69;869;5.586;6,43;---;---;---;384;4.245;11,06;2.654;19.172;7,23;279;5.020;17,99;2.716;40.057;14,75;3.896;23.621;6,06;---;---;---;---;---;---
Italy;Europe;Southern Europe;24.872;104.621;4,21;98.424;418.598;4,25;321.395;1.474.185;4,59;71;370;5,24;2.267;73.783;32,54;21.356;188.680;8,83;752;19.947;26,54;10.755;195.200;18,15;3.855;30.826;8;2.975;27.188;9,14;144;1.526;10,6
Japan;Asia;Eastern Asia;15.032;79.125;5,26;2.969;12.723;4,29;106.801;570.034;5,34;95;551;5,83;465;11.543;24,82;4.107;36.825;8,97;227;5.698;25,16;4.413;114.373;25,92;1.112;19.931;17,92;50;417;8,29;---;---;---
