wine,year,Region,Litres
Table Wine,2011,All Regions,24433897
Port,2011,All Regions,59044634
TOTAL,2011,All Regions,132017219
Douro Wine DOC,2010,All Regions,50406991
Sparkling,2010,All Regions,195495
Douro Wine not DOC,2010,All Regions,4979165
Moscatel,2010,All Regions,4552497
Table Wine,2010,All Regions,26948520
Port,2010,All Regions,77177801
TOTAL,2010,All Regions,164260469
Douro Wine DOC,2009,All Regions,34878356
Sparkling,2009,All Regions,233905
Douro Wine not DOC,2009,All Regions,2681593
Moscatel,2009,All Regions,4075598
Table Wine,2009,All Regions,13392570
Port,2009,All Regions,77371896
TOTAL,2009,All Regions,132633918
Douro Wine DOC,2008,All Regions,32990840
Sparkling,2008,All Regions,168814
Douro Wine not DOC,2008,All Regions,3551729
Moscatel,2008,All Regions,3013035
Table Wine,2008,All Regions,10480316
Port,2008,All Regions,87186412
TOTAL,2008,All Regions,137391146
